07-22-2026 09:04:19 RAM 9608/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [62%@1728,60%@1728,54%@1728,58%@1728,54%@1728,56%@1728,63%@1728,56%@1728] GR3D_FREQ 49% cpu@57.406C soc2@54.906C soc0@54.656C gpu@54C tj@57.406C soc1@55.531C VDD_GPU_SOC 4211mW/4213mW VDD_CPU_CV 1915mW/1277mW VIN_SYS_5V0 5763mW/5534mW
07-22-2026 09:04:20 RAM 9609/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [38%@729,42%@729,44%@729,36%@729,39%@729,28%@729,32%@729,49%@729] GR3D_FREQ 0% cpu@56.593C soc2@54.687C soc0@54.875C gpu@54.093C tj@56.593C soc1@55.562C VDD_GPU_SOC 4213mW/4213mW VDD_CPU_CV 1532mW/1293mW VIN_SYS_5V0 5561mW/5536mW
07-22-2026 09:04:20 RAM 9609/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [20%@729,4%@729,8%@729,5%@729,15%@729,0%@729,2%@729,3%@729] GR3D_FREQ 0% cpu@56.531C soc2@54.656C soc0@54.781C gpu@53.906C tj@56.531C soc1@55.781C VDD_GPU_SOC 3830mW/4190mW VDD_CPU_CV 766mW/1262mW VIN_SYS_5V0 5359mW/5525mW
07-22-2026 09:04:21 RAM 9609/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [4%@729,5%@729,0%@729,6%@729,20%@729,2%@729,3%@729,4%@729] GR3D_FREQ 0% cpu@56.375C soc2@54.562C soc0@54.781C gpu@53.781C tj@56.375C soc1@55.75C VDD_GPU_SOC 3832mW/4170mW VDD_CPU_CV 766mW/1234mW VIN_SYS_5V0 5266mW/5511mW
07-22-2026 09:04:21 RAM 9614/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [4%@729,3%@729,1%@729,4%@729,1%@729,9%@729,2%@729,0%@729] GR3D_FREQ 0% cpu@56.593C soc2@54.468C soc0@54.781C gpu@53.812C tj@56.406C soc1@55.625C VDD_GPU_SOC 3832mW/4152mW VDD_CPU_CV 766mW/1209mW VIN_SYS_5V0 5165mW/5493mW
07-22-2026 09:04:22 RAM 9615/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [10%@729,4%@729,4%@729,3%@729,28%@729,5%@729,4%@729,5%@729] GR3D_FREQ 0% cpu@56.656C soc2@54.656C soc0@54.75C gpu@53.781C tj@56.656C soc1@55.593C VDD_GPU_SOC 3832mW/4136mW VDD_CPU_CV 766mW/1187mW VIN_SYS_5V0 5165mW/5476mW
07-22-2026 09:04:22 RAM 9608/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [15%@729,25%@729,10%@729,13%@729,30%@729,20%@729,22%@729,47%@729] GR3D_FREQ 0% cpu@56.718C soc2@54.718C soc0@54.781C gpu@53.906C tj@56.718C soc1@55.625C VDD_GPU_SOC 3830mW/4122mW VDD_CPU_CV 1149mW/1185mW VIN_SYS_5V0 5359mW/5471mW
07-22-2026 09:04:23 RAM 9608/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [7%@729,27%@729,8%@729,5%@729,4%@729,9%@729,4%@729,2%@729] GR3D_FREQ 0% cpu@56.625C soc2@54.625C soc0@54.812C gpu@53.781C tj@56.625C soc1@55.593C VDD_GPU_SOC 3832mW/4109mW VDD_CPU_CV 766mW/1166mW VIN_SYS_5V0 5258mW/5461mW
07-22-2026 09:04:23 RAM 9607/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [2%@729,4%@729,15%@729,0%@729,6%@729,4%@729,9%@729,7%@729] GR3D_FREQ 0% cpu@56.375C soc2@54.5C soc0@54.812C gpu@53.812C tj@56.375C soc1@55.75C VDD_GPU_SOC 3832mW/4097mW VDD_CPU_CV 766mW/1149mW VIN_SYS_5V0 5165mW/5448mW
07-22-2026 09:04:24 RAM 9607/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [3%@729,0%@729,7%@729,5%@729,9%@729,3%@729,3%@729,2%@729] GR3D_FREQ 0% cpu@56.75C soc2@54.531C soc0@54.843C gpu@53.781C tj@56.437C soc1@55.687C VDD_GPU_SOC 3832mW/4086mW VDD_CPU_CV 383mW/1117mW VIN_SYS_5V0 5165mW/5436mW
07-22-2026 09:04:24 RAM 9609/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [6%@729,4%@729,8%@729,6%@729,4%@729,4%@729,10%@729,3%@729] GR3D_FREQ 0% cpu@56.375C soc2@54.656C soc0@54.718C gpu@54.031C tj@56.375C soc1@55.593C VDD_GPU_SOC 3832mW/4075mW VDD_CPU_CV 766mW/1103mW VIN_SYS_5V0 5165mW/5426mW
07-22-2026 09:04:25 RAM 9609/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [2%@729,10%@729,4%@729,2%@729,2%@729,2%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@56.625C soc2@54.625C soc0@54.718C gpu@53.656C tj@56.625C soc1@55.562C VDD_GPU_SOC 3832mW/4066mW VDD_CPU_CV 383mW/1075mW VIN_SYS_5V0 5165mW/5416mW
07-22-2026 09:04:26 RAM 9609/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [2%@729,6%@729,1%@729,0%@729,5%@729,3%@729,5%@729,2%@729] GR3D_FREQ 0% cpu@56.593C soc2@54.562C soc0@54.812C gpu@54C tj@56.593C soc1@55.625C VDD_GPU_SOC 3832mW/4057mW VDD_CPU_CV 383mW/1050mW VIN_SYS_5V0 5165mW/5406mW
07-22-2026 09:04:26 RAM 9609/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [4%@729,5%@729,1%@729,3%@729,2%@729,2%@729,2%@729,3%@729] GR3D_FREQ 0% cpu@56.375C soc2@54.593C soc0@54.781C gpu@54.156C tj@56.375C soc1@55.5C VDD_GPU_SOC 3832mW/4049mW VDD_CPU_CV 383mW/1026mW VIN_SYS_5V0 5165mW/5398mW
07-22-2026 09:04:27 RAM 9608/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [1%@729,6%@729,2%@729,0%@729,3%@729,1%@729,7%@729,0%@729] GR3D_FREQ 0% cpu@56.281C soc2@54.562C soc0@54.75C gpu@53.937C tj@56.281C soc1@55.781C VDD_GPU_SOC 3832mW/4042mW VDD_CPU_CV 383mW/1004mW VIN_SYS_5V0 5165mW/5390mW
07-22-2026 09:04:27 RAM 9608/30697MB (lfb 33x4MB) SWAP 0/15349MB (cached 0MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@729,1%@729,2%@729,2%@729] GR3D_FREQ 0% cpu@56.312C soc2@54.468C soc0@54.656C gpu@53.781C tj@56.312C soc1@55.593C VDD_GPU_SOC 3832mW/4035mW VDD_CPU_CV 383mW/983mW VIN_SYS_5V0 5165mW/5382mW
